Rank,Movie
1,The Shawshank Redemption
2,The Godfather
3,The Dark Knight
4,The Godfather Part II
5,12 Angry Men
6,The Lord of the Rings: The Return of the King
7,Schindler's List
8,The Lord of the Rings: The Fellowship of the Ring
9,Pulp Fiction
10,"The Good, the Bad and the Ugly"
11,The Lord of the Rings: The Two Towers
12,Forrest Gump
13,Fight Club
14,Inception
15,Star Wars: Episode V - The Empire Strikes Back
16,The Matrix
17,GoodFellas
18,Interstellar
19,One Flew Over the Cuckoo's Nest
20,Seven
21,It's a Wonderful Life
22,The Silence of the Lambs
23,Saving Private Ryan
24,Seven Samurai
25,The Green Mile
26,City of God
27,Life Is Beautiful
28,Terminator 2: Judgment Day
29,Back to the Future
30,Star Wars: Episode IV - A New Hope
31,Kill Bill: The Whole Bloody Affair
32,Spirited Away
33,Gladiator
34,The Pianist
35,Parasite
36,Grave of the Fireflies
37,Psycho
38,The Lion King
39,Harakiri
40,The Departed
41,Whiplash
42,The Prestige
43,American History X
44,Léon: The Professional
45,Spider-Man: Across the Spider-Verse
46,Cinema Paradiso
47,Casablanca
48,The Intouchables
49,The Usual Suspects
50,Django Unchained
51,Alien
52,Rear Window
53,Modern Times
54,Once Upon a Time in the West
55,City Lights
56,Apocalypse Now
57,WALL·E
58,Memento
59,Dune: Part Two
60,Avengers: Infinity War
61,Raiders of the Lost Ark
62,The Lives of Others
63,Spider-Man: Into the Spider-Verse
64,Sunset Boulevard
65,Witness for the Prosecution
66,Paths of Glory
67,The Shining
68,The Great Dictator
69,Inglourious Basterds
70,Aliens
71,12th Fail
72,High and Low
73,Avengers: Endgame
74,Good Will Hunting
75,The Dark Knight Rises
76,Coco
77,Amadeus
78,Toy Story
79,Your Name.
80,Das Boot
81,Braveheart
82,Princess Mononoke
83,Oldboy
84,3 Idiots
85,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
86,American Beauty
87,Capernaum
88,Singin' in the Rain
89,Joker
90,Once Upon a Time in America
91,Star Wars: Episode VI - Return of the Jedi
92,Toy Story 3
93,Come and See
94,Requiem for a Dream
95,Ikiru
96,The Hunt
97,Incendies
98,Eternal Sunshine of the Spotless Mind
99,The Apartment
100,Lawrence of Arabia
101,Heat
102,Scarface
103,Reservoir Dogs
104,2001: A Space Odyssey
105,Up
106,Double Indemnity
107,North by Northwest
108,Like Stars on Earth
109,Full Metal Jacket
110,A Separation
111,Amélie
112,Vertigo
113,Citizen Kane
114,Die Hard
115,To Kill a Mockingbird
116,Indiana Jones and the Last Crusade
117,The Sting
118,I Swear
119,A Clockwork Orange
120,Metropolis
121,1917
122,Snatch
123,The Wolf of Wall Street
124,Downfall
125,The Truman Show
126,L.A. Confidential
127,Dangal
128,Shutter Island
129,Bicycle Thieves
130,Green Book
131,Oppenheimer
132,Judgment at Nuremberg
133,Attack on Titan: The Last Attack
134,Batman Begins
135,Project Hail Mary
136,Jurassic Park
137,For a Few Dollars More
138,Hamilton
139,Taxi Driver
140,Some Like It Hot
141,There Will Be Blood
142,The Father
143,The Kid
144,All About Eve
145,The Sixth Sense
146,Ran
147,Casino
148,The Thing
149,No Country for Old Men
150,Prisoners
151,Top Gun: Maverick
152,Kill Bill: Vol. 1
153,Pan's Labyrinth
154,Unforgiven
155,A Beautiful Mind
156,Howl's Moving Castle
157,The Treasure of the Sierra Madre
158,Finding Nemo
159,Klaus
160,Yojimbo
161,The Elephant Man
162,The Great Escape
163,Demon Slayer: Kimetsu No Yaiba Infinity Castle
164,Monty Python and the Holy Grail
165,Dial M for Murder
166,The Secret in Their Eyes
167,Gone with the Wind
168,"Lock, Stock and Two Smoking Barrels"
169,Chinatown
170,The Best of Youth
171,V for Vendetta
172,Catch Me If You Can
173,Inside Out
174,Trainspotting
175,"Three Billboards Outside Ebbing, Missouri"
176,Rashomon
177,Dead Poets Society
178,The Bridge on the River Kwai
179,Harry Potter and the Deathly Hallows: Part 2
180,The Wild Robot
181,Barry Lyndon
182,Ben-Hur
183,Warrior
184,Fargo
185,Hacksaw Ridge
186,Million Dollar Baby
187,Mad Max: Fury Road
188,Children of Heaven
189,My Neighbor Totoro
190,Raging Bull
191,Ratatouille
192,Gran Torino
193,12 Years a Slave
194,The Grand Budapest Hotel
195,Memories of Murder
196,How to Train Your Dragon
197,Before Sunrise
198,Blade Runner
199,"Monsters, Inc."
200,Gone Girl
201,Spider-Man: No Way Home
202,Jaws
203,Ford v Ferrari
204,In the Name of the Father
205,Wild Tales
206,The Gold Rush
207,Sherlock Jr.
208,Mary and Max
209,The Chaos Class Failed the Class
210,The Deer Hunter
211,The Wages of Fear
212,The General
213,Logan
214,Rocky
215,A Silent Voice: The Movie
216,Chainsaw Man - The Movie: Reze Arc
217,Pirates of the Caribbean: The Curse of the Black Pearl
218,Mr. Smith Goes to Washington
219,Tokyo Story
220,La haine
221,Spotlight
222,On the Waterfront
223,Wild Strawberries
224,The Sound of Music
225,Jai Bhim
226,The Terminator
227,Maharaja
228,The Third Man
229,The Best Years of Our Lives
230,The Big Lebowski
231,Before Sunset
232,The Incredibles
233,Room
234,Hachi: A Dog's Tale
235,The Seventh Seal
236,Hotel Rwanda
237,Platoon
238,The Exorcist
239,The Iron Giant
240,Rush
241,The Wizard of Oz
242,Stand by Me
243,My Father and My Son
244,The Battle of Algiers
245,The Passion of Joan of Arc
246,Obsession
247,The Handmaiden
248,Lost Ladies
249,Drishyam
250,Action
